German_Lemma,Spanish_Translation
Detailgenauigkeit,precisión al detalle
Devaluation,devaluación
Devise,divisa
Diagnose,diagnóstico
Diagnosestellung,establecimiento de diagnóstico
Diagramm,diagrama
diamanten,diamantes
Dichter,poeta
diebe,ladrones
diener,sirviente
Dienstag,martes
dient,sirve
diese,esta
dieselben,los mismos
diesem,a este
Differenz,diferencia
Diktator,dictador
Diktatur,dictadura
Dimension,dimensión
Diplomatie,diplomacia
Direktheit,franqueza
Dirigent,director de orquesta
Diskrepanz,discrepancia
Diskussion,discusión
Distanz,distancia
Disziplin,disciplina
Diversität,diversidad
Dividende,dividendo
Division,división
Dogma,dogma
Dokument,documento
Dokumentation,documentación
dokumente,documentos
Dollar,dólar
Domestizierung,domesticación
Donnerstag,jueves
Doppelmoral,doble moral
drache,dragón
Drama,drama
dreckig,sucio
dreh,giro
drehte,giró
drinks,bebidas/tragos
Drittel,tercio
dritter,tercero
drunter,debajo
Duft,aroma
Dummheit,estupidez
Dummkopf,tonto/imbécil
Dunkelheit,oscuridad
Durchbruch,avance
durchhalten,aguantar
Durchschnittsalter,edad media
Durchsetzung,imposición
durchsuchen,registrar
dutzend,docena
Dynamik,dinámica
dynamit,dinamita
Ebene,nivel
Echo,eco
echten,verdaderos
Echtheit,autenticidad
Edelstein,gema
Effekt,efecto
Effizienz,eficiencia
Egoismus,egoísmo
egoistisch,egoísta
ehemaligen,antiguos/ex
Ehre,honor
Ehrgeiz,ambición
eier,huevos
Eigenart,peculiaridad
eigenes,propio
Eigeninitiative,iniciativa propia
Eigenschaft,propiedad
eigentum,propiedad
Eigenverantwortung,responsabilidad personal
Eilbedürftigkeit,urgencia
eimer,cubo
einander,uno al otro
Einblick,perspectiva
Eindämmung,contención
eines,uno (de)
einfaches,sencillo
Einfallsreichtum,ingeniosidad
Einflussnahme,influencia
Eingabe,entrada
eingeschlafen,dormido
eingeschlossen,encerrado/incluido
eingesperrt,encerrado
Eingliederung,integración
Einheit,unidad
einige,algunos
Einigung,acuerdo
Einkommensteuer,impuesto sobre la renta
Einsatz,uso
Einschüchterung,intimidación
Einsicht,comprensión
Einsparung,ahorro
Eintrag,entrada
Einwand,objeción
Einwanderung,inmigración
Einzelgänger,solitario
einzige,única
eiskalt,helado/muy frío
Eiszeit,era glacial
Elefant,elefante
elefanten,elefantes
Eleganz,elegancia
Elektrizität,electricidad
Element,elemento
Elite,élite
Emanzipation,emancipación
Embargo,embargo
Emigration,emigración
Emotion,emoción
empfehle,recomiendo
Empörung,indignación
Endlichkeit,finitud
Energieversorgung,suministro de energía
Engagement,compromiso
Engagementbereitschaft,disposición al compromiso
Engel,ángel
Entbehrung,privación
Ente,pato
Entfremdung,alienación
Entgiftung,desintoxicación
entkommen,escapar
Entmutigung,desaliento
Entspannung,relajación
Entwertung,devaluación
Entwurf,borrador
Epidemie,epidemia
Epik,épica
Epoche,época
Erbe,herencia
Erblindung,ceguera
Erderwärmung,calentamiento global
Erfindungsgeist,espíritu inventivo
Erforschung,exploración
Erfrierung,congelación
erfuhr,se enteró/supo
ergibt,resulta/da
Erhaltung,conservación
erkennst,reconoces
Erkundigung,consulta
erlaube,permito
erlaubt,permitido
erleichtert,aliviado
Erleichterung,alivio
Erlösung,redención
Ermittlung,investigación
Ermutigung,estímulo
Erneuerung,renovación
Ernst,seriedad
Eroberungsfeldzug,campaña de conquista
erraten,adivinar
Erreichung,logro
Ersatzlieferung,entrega de repuesto
erschaffen,crear
Erscheinung,apariencia
erschien,apareció
erschieß,dispara
erschreckt,asustado
Erschöpfung,agotamiento
ersparen,ahorrar/evitar
Ersparnis,ahorro
Erstattung,reembolso
erstaunlich,asombroso
Erststimme,primer voto
Ertrag,rendimiento
ertrinken,ahogarse
erwachsenen,adultos
erwarte,espero
Erwerbsunfähigkeit,incapacidad laboral
Erwiderung,respuesta
Eskalation,escalada
Establishment,establishment
Ethik,ética
Etikett,etiqueta
eure,vuestra
Evangelium,evangelio
Eventualität,eventualidad
Evolution,evolución
Exekutive,poder ejecutivo
Exil,exilio
Existenz,existencia
existieren,existir
Exklusivität,exclusividad
Expansion,expansión
experimente,experimentos
Experimentierfreudigkeit,gusto por experimentar
explodiert,explota
Exploitation,explotación
Explosion,explosión
Exportwirtschaft,economía exportadora
Extremismus,extremismo
Extremsport,deporte extremo
Fachkraft,especialista
Fachkunde,conocimiento especializado
Fahrt,viaje
Fahrverbot,prohibición de circulación
fakten,hechos
falsche,falsa
falsches,falso
Fanatismus,fanatismo
fangt,atrapad
fantastische,fantástica
Farbenblindheit,daltonismo
fass,barril
fasse,agarro/comprendo
Fassung,versión
Fassungslosigkeit,perplejidad
Faszination,fascinación
fasziniert,fascinado
februar,febrero
Feder,pluma
Fehlerlosigkeit,perfección
fehlt,falta
Feind,enemigo
Feinde,enemigos
Feindschaft,enemistad
Feindseligkeit,hostilidad
Feldforschung,investigación de campo
Feminismus,feminismo
Fernstudium,estudios a distancia
Fertigkeit,destreza
festen,fijos/sólidos
fetten,grasos
Feuchtigkeit,humedad
Filter,filtro
Finanzierung,financiación
Finanzmarkt,mercado financiero
findest,encuentras
Firmengründung,creación de empresa
Fiskalpolitik,política fiscal
flamme,llama
flammen,llamas
flehe,suplico
Fleiß,diligencia
Flexibilität,flexibilidad
flieg,vuela
Flieger,avión/aviador
Flittchen,putilla (despectivo)
Flitterwochen,luna de miel
Flugverkehr,tráfico aéreo
Flächendeckung,cobertura total
Flüchtlingshilfe,ayuda a refugiados
Fokus,enfoque
folgendes,siguiente
Folklore,folklore
Formalisierung,formalización
Formel,fórmula
Fortpflanzung,reproducción
Fotojournalismus,fotoperiodismo
Fragebogen,cuestionario
Fragmentierung,fragmentación
fragst,preguntas
Frankreich,Francia
Frauenbewegung,movimiento feminista
Frauenförderung,promoción de la mujer
freier,libre
Freihandel,libre comercio
Freisetzung,liberación
Freitag,viernes
Freiwilliger,voluntario
Freiwilligkeit,voluntariedad
Fremdenfeindlichkeit,xenofobia
Fremdsprache,lengua extranjera
freundes,del amigo
Frieden,paz
Friedensbewegung,movimiento pacifista
friedhof,cementerio
frohes,feliz
front,frente
Frost,escarcha
Frust,frustración
Frustration,frustración
Fräulein,señorita
Frühling,primavera
funk,radio/comunicación
funken,chispas
Funktion,función
Funktionalität,funcionalidad
Furcht,miedo
furchtbaren,terribles
Fusion,fusión
Futter,alimento
Föderalismus,federalismo
Führungsqualität,cualidad de liderazgo
Gabe,don
Ganzheit,totalidad
Ganzheitlichkeit,integralidad
garantiert,garantizado
gasse,callejón
Gastfreundschaft,hospitalidad
Gastronomie,gastronomía
gebet,oración/rezo
geblieben,quedado
Gebrauch,uso
gebucht,reservado
Geburtshilfe,obstetricia
gedacht,pensado
geduldig,paciente
Gedächtnis,memoria
Gedächtnisleistung,capacidad de memoria
gefangenen,prisioneros
gefasst,atrapado/sereno
Gegenwart,presente
gegessen,comido
gehalten,sostenido/mantenido
geheiratet,casado
Gehirn,cerebro
gehst,vas
Gehör,oído
geirrt,equivocado
Geisel,rehén
geiseln,rehenes
Geist,espíritu
gekocht,cocinado
gelassen,sereno/tranquilo (o dejado)
Gelassenheit,serenidad
gelb,amarillo
Geldpolitik,política monetaria
gelebt,vivido
gelegen,situado/conveniente
geleistet,realizado/hecho
gelesen,leído
geliehen,prestado
gelingt,logra
Geltungsbereich,ámbito de aplicación
gemeinsame,común/conjunta
Gemeinschaftsgefühl,sentimiento comunitario
gemerkt,notado
gen,gen (o hacia)
Genesung,recuperación
Genetik,genética
Genie,genio
genieße,disfruto
Gentechnik,ingeniería genética
gentlemen,caballeros
Genuss,placer
Geometrie,geometría
Geopolitik,geopolítica
gerannt,corrido
Gerechtigkeit,justicia
geredet,hablado
gerne,con gusto
Geruch,olor
Geräusch,ruido
Gerücht,rumor
Gerüchteküche,rumores
Gesamtheit,totalidad
Gesamtschule,escuela integral
Gesang,canto
geschaffen,creado
geschaut,mirado
geschenkt,regalado
geschnappt,atrapado
Geschäftsführung,dirección empresarial
Geschäftspartner,socio comercial
Gesellschaftskritik,crítica social
Gesetzgebung,legislación
gesetzt,puesto/colocado
gesprungen,saltado
Gesprächsführung,dirección de conversación
Gestalt,forma
Gestaltung,diseño
Geste,gesto
getan,hecho
getrennt,separado
getrunken,bebido
Gewaltanwendung,uso de la violencia
gewaltig,enorme
Gewehr,rifle
Gewerbe,comercio
Gewerbegebiet,zona industrial
Gewerkschaftsmitglied,miembro del sindicato
gewesen,sido/estado
Gewinn,ganancia
Gewinnmaximierung,maximización de beneficios
gewinnst,ganas
gewiss,cierto/seguro
gewisse,cierta
Gewissheit,certeza
Gewohnheit,hábito
gewohnt,acostumbrado
gezogen,tirado/mudado
gibst,das
gibt,da/hay
gibts,hay (gibt es)
Gift,veneno
ginge,iría/funcionaría
Gipfel,cumbre
Gipfeltreffen,cumbre
glatt,liso/resbaladizo
Glaube,fe
glaubst,crees
Gleichberechtigung,igualdad
Gleichgewicht,equilibrio
Globalisierung,globalización
Gnade,gracia
Gottesdienst,servicio religioso
gottverdammt,maldita sea
gouverneur,gobernador
Grab,tumba
grade,acabo de (gerade)
Graduierung,graduación
Gramm,gramo
Grammatik,gramática
Gras,hierba
gratuliere,felicito
Grenze,frontera
Griff,agarre
grosse,grande
großartigen,grandioso
großer,grande/mayor
Großhandel,comercio mayorista
Großmacht,gran potencia
Grundbedürfnis,necesidad básica
grunde,fondo
Grundgesetz,ley fundamental
Grundkenntnis,conocimientos básicos
Grundsatz,principio fundamental
Gruppenarbeit,trabajo en grupo
Gruppendynamik,dinámica de grupo
Gunst,favor
gute,buena
gutem,buen
Gymnasiallehrer,profesor de instituto
Gymnasium,instituto
Gültigkeit,validez
Gürtel,cinturón
Güterverkehr,transporte de mercancías
habe,tengo
Haftpflicht,responsabilidad civil
Hahn,grifo
halbe,media
Halt,parada
Haltbarkeit,durabilidad
Haltung,actitud
Hammer,martillo
Handel,comercio
Handelsbilanz,balanza comercial
Handelspartner,socio comercial
handgelenk,muñeca (anatomía)
Handlung,acción
Handschuh,guante
Handwerk,artesanía
Hang,pendiente
Harmonie,armonía
harte,dura
hasen,conejos
Hass,odio
hat,tiene
hatten,tenían
hattet,teníais
hauch,toque/soplo
Haupt,principal
Hausaufgaben,deberes
Hauses,de la casa
Haushaltsdefizit,déficit presupuestario
Haushaltspolitik,política presupuestaria
hausmeister,conserje
hebt,levanta
Heftigkeit,intensidad
heilige,santa
Heilmittel,remedio
Heilung,curación
Heimatland,país natal
Heirat,matrimonio
Heiterkeit,alegría
Held,héroe
helden,héroes
Heldentum,heroísmo
helfe,ayudo
henker,verdugo
Herausforderung,desafío
Herbst,otoño
Herkunft,origen
herrlich,maravilloso/magnífico
Herrschaft,dominio
Herrschaftsform,forma de gobierno
herrschen,reinar/gobernar
Herstellung,producción
herum,alrededor
Herzog,duque
heut,hoy
Hexe,bruja
hielten,mantuvieron/pararon
hierher,aquí/hacia acá
highschool,instituto/secundaria
hilfreich,útil
Hilfsbereitschaft,disposición a ayudar
hilfst,ayudas
hilft,ayuda
Hindernis,obstáculo
hingehen,ir allí
hinrichtung,ejecución
Hinterfragung,cuestionamiento
Hintergrund,trasfondo
hinterher,después/detrás
hinweg,más allá/por encima
Hinweis,indicación
hit,éxito
Hitze,calor
Hochschulabschluss,título universitario
Hof,patio
Hoffnung,esperanza
hohen,altos
hole,traigo/consigo
Hollywoodfilm,película de Hollywood
Holz,madera
hopp,hop (vamos)
Horizont,horizonte
Horror,horror
Humanismus,humanismo
hunderte,cientos
hunter,cazador
Hyperinflation,hiperinflación
Hypothese,hipótesis
Höflichkeit,cortesía
Höhe,altura
Höhle,cueva
Hügel,colina
Ideal,ideal
Idealisierung,idealización
Ideenreichtum,riqueza de ideas
Identifikation,identificación
identifizieren,identificar
Identität,identidad
Ideologie,ideología
Ignoranz,ignorancia
Illusion,ilusión
Image,imagen
Immigration,inmigración
Immunität,inmunidad
Immunsystem,sistema inmunitario
Imperialismus,imperialismo
Implementation,implementación
Import,importación
Improvisation,improvisación
indem,mientras/ya que
Individualisierung,individualización
Individualität,individualidad
Industrialisierung,industrialización
Industrie,industria
Industriearbeiter,trabajador industrial
Industriezweig,rama industrial
Infektion,infección
Inflation,inflación
Infotainment,infotainment
Infrastruktur,infraestructura
Ingenieurwesen,ingeniería
Inhalt,contenido
Initiative,iniciativa
Initiativrecht,derecho de iniciativa
Inkompetenz,incompetencia
Innenarchitektur,interiorismo
Innenministerium,ministerio del interior
innerhalb,dentro de
Innovation,innovación
Insekt,insecto
Insiderhandel,abuso de información privilegiada
Insolvenz,insolvencia
Inspiration,inspiración
Installation,instalación
instinkt,instinto
Institution,institución
Integration,integración
Integrationsbereitschaft,disposición a la integración
Integrationspolitik,política de integración
Intellekt,intelecto
Intellektuelle,intelectual
Intelligenz,inteligencia
Intensität,intensidad
Intensivierung,intensificación
Interaktion,interacción
Interessensvertretung,representación de intereses
interessiert,interesado
internationalen,internacionales
Internationalität,internacionalidad
Interpretation,interpretación
Intervention,intervención
Investition,inversión
Investmentbank,banco de inversión
Investmentfonds,fondo de inversión
irgendeine,alguna
irgendwelche,algunos/cualesquiera
Ironie,ironía
irre,loco
Irreführung,engaño
Islamismus,islamismo
Isolation,aislamiento
Isolationismus,aislacionismo
iss,come
jahre,años
jahres,año
Jahreszeit,estación
Jahrhundert,siglo
jawohl,sí señor/afirmativo
jede,cada
jedoch,sin embargo
jemandem,a alguien
Journalismus,periodismo
Journalist,periodista
juckt,pica
Jugend,juventud
Jugendarbeitslosigkeit,desempleo juvenil
Jugendkriminalität,delincuencia juvenil
jungfrau,virgen
Justiz,justicia
Kaiser,emperador
kalte,fría
kameraden,camaradas
Kampagne,campaña
Kanal,canal
Kandidat,candidato
kannst,puedes
kannte,conocía
kanonen,cañones
Kanton,cantón
Kapazität,capacidad
kapiert,pillado/entendido (coloquial)
Kapital,capital
Kapitalanlage,inversión de capital
Kapitalflucht,fuga de capitales
Kapitalismus,capitalismo
Kapitalmarkt,mercado de capitales
Kapitel,capítulo
Kapitän,capitán
Karriere,carrera
Karriereplanung,planificación de carrera
karten,cartas/mapas/entradas
Katalog,catálogo
Katastrophe,catástrofe
Kategorie,categoría
kater,resaca/gato
Kauf,compra
Kaufkraft,poder adquisitivo
Kaufmann,comerciante
Kehle,garganta
Kellner,camarero
kennst,conoces
kennt,conoce
kennzeichen,matrícula/seña
Kennzeichnung,marcación
Kern,núcleo
Kernenergie,energía nuclear
Kernfusion,fusión nuclear
ketten,cadenas
kids,niños/chicos
Kindererziehung,educación infantil
kindern,niños
Kinderpsychologie,psicología infantil
Kindertagesstätte,guardería
kindheit,infancia
Kirchensteuer,impuesto eclesiástico
klamotten,ropa (coloquial)
Klang,sonido
klaren,claros
Klarheit,claridad
Klarstellung,aclaración
Klassenkampf,lucha de clases
Klassiker,clásico
kleiner,pequeño
kleines,pequeño
kleinigkeit,pequeñez/detalle
Klima,clima
Klimaschutz,protección climática
Klimawandel,cambio climático
klingt,suena
Klostertradition,tradición monástica
knacken,crujir/forzar
Knappheit,escasez
Knarre,pistola (coloquial)
Knast,cárcel (coloquial)
Knie,rodilla
Knochen,huesos
Knopf,botón
knurrt,gruñe
Koalition,coalición
Koch,cocinero
Koexistenz,coexistencia
Kognition,cognición
kokain,cocaína
Kollegenschaft,colegas
Kolonialismus,colonialismo
Komfort,comodidad
komisches,raro/cómico
komm,ven
Kommentar,comentario
Kommerzialisierung,comercialización
Kommunalwahl,elecciones municipales
Kommunikation,comunicación
Kommunikationsmittel,medio de comunicación
Kommunismus,comunismo
kommunizieren,comunicar
kompanie,compañía
Kompetenz,competencia
Kompetition,competición
Komplementarität,complementariedad
Komplex,complejo
Komplikation,complicación
Komponente,componente
Komponist,compositor
Kompromiss,compromiso
Kondition,condición
Konferenz,conferencia
Konfession,confesión
Konflikt,conflicto
Konfliktlösung,resolución de conflictos
Konfrontation,confrontación
Konjunktur,coyuntura
Konkurrenz,competencia
Konkurrenzfähigkeit,competitividad
konnten,podían
Konsequenz,consecuencia
Konservativismus,conservadurismo
Konstruktion,construcción
Konsument,consumidor
Konsumgesellschaft,sociedad de consumo
kontaktiert,contactado
Kontrolle,control
Kontroverse,controversia
Konzentration,concentración
Konzentrationslager,campo de concentración
Konzentrationsschwäche,falta de concentración
konzentrier,concentra (imperativo)
konzentrieren,concentrar
Konzept,concepto
Konzern,corporación
Konzernleitung,dirección del consorcio
Kooperation,cooperación
Koordination,coordinación
Kopfschmerzen,dolor de cabeza
Kopie,copia
Korrektur,corrección
Korrespondenz,correspondencia
Korruption,corrupción
Kraftfahrzeug,vehículo a motor
kranken,enfermos
krankenstation,enfermería
krankenwagen,ambulancia
Kreativität,creatividad
kreaturen,criaturas
Kreditwürdigkeit,solvencia
Kreis,círculo
kreischt,chilla
Kriminalität,criminalidad
Kriminologie,criminología
Krise,crisis
Krisenbewältigung,superación de crisis
Krisenmanagement,gestión de crisis
Kritik,crítica
Kugel,bola
Kuh,vaca
Kulturgeschichte,historia cultural
Kulturpolitik,política cultural
kumpel,colega
Kunstgeschichte,historia del arte
Kunstwerk,obra de arte
kurve,curva
kurzen,cortos
Kuss,beso
Kälte,frío
König,rey
Künstler,artista
Küste,costa
Laboratorium,laboratorio
Lage,situación
lagen,yacían/estaban tumbados
landen,aterrizar
landet,aterriza
Landwirtschaft,agricultura
langsamer,más despacio
las,leyó
Laser,láser
Last,carga
Lauf,curso
lebend,vivo
lebenden,vivos
lebendig,vivo/animado
Lebenserwartung,esperanza de vida
Lebensführung,modo de vida
Lebensqualität,calidad de vida
Lebensstandard,nivel de vida
Lebensstil,estilo de vida
Lebensunterhalt,sustento
Lebensweise,estilo de vida
leber,hígado
lebte,vivía
lebten,vivían
Leder,cuero
leeren,vaciar
legal,legal
Legalität,legalidad
Legitimation,legitimación
Lehre,enseñanza
Lehrplan,plan de estudios
Leib,cuerpo
leichter,más fácil
Leidenschaft,pasión
Leistung,rendimiento
Leistungsfähigkeit,capacidad de rendimiento
Leistungsgesellschaft,sociedad de rendimiento
Leiter,líder
Leitung,dirección
lenken,dirigir/conducir
Lernbereitschaft,disposición a aprender
Lernschwierigkeit,dificultad de aprendizaje
lernst,aprendes
lernte,aprendió
lernten,aprendieron
Leser,lector
letzten,últimos
Liberalisierung,liberalización
Liberalismus,liberalismo
Liebe,amor
liebster,querido
lieder,canciones
Lieferant,proveedor
Lieferung,entrega
liegst,estás tumbado/mientes
liest,lee
liga,liga
limonade,limonada
Linie,línea
lippen,labios
Liste,lista
Liter,litro
Literatur,literatura
Lobby,lobby
Loch,agujero
locken,rizos/atraer
Logik,lógica
Lohnerhöhung,aumento salarial
Lohnpolitik,política salarial
loslegen,empezar/arrancar
loszuwerden,deshacerse de
loyal,leal
Loyalität,lealtad
Luftverschmutzung,contaminación atmosférica
Lunge,pulmón
lustige,divertida
Luxus,lujo
Lärm,ruido
mache,hago
Macht,poder
machten,hicieron
Machtmissbrauch,abuso de poder
Machtstellung,posición de poder
Machtverteilung,distribución del poder
Magie,magia
Mahlzeit,comida
mai,mayo
maler,pintor
Management,gestión
Managementberatung,consultoría de gestión
Manager,gerente
manche,algunos
Mangel,carencia
Manipulation,manipulación
manipulieren,manipular
manipuliert,manipulado
marines,marines
Marke,marca
Marketing,marketing
markt,mercado
Marktforschung,investigación de mercado
Marktwirtschaft,economía de mercado
mars,marte
marsch,marcha
maschinenraum,sala de máquinas
Masse,masa
Massenkommunikation,comunicación de masas
Massenmedium,medio de comunicación de masas
Massenproduktion,producción en masa
Material,material
Materialismus,materialismo
Mathematik,matemáticas
Maximum,máximo
Maß,medida
maßnahmen,medidas
Mechaniker,mecánico
Mechanismus,mecanismo
Medienpolitik,política mediática
medizinische,médica
Mehl,harina
Meinungsbildung,formación de opinión
Meinungsforschung,investigación de opinión
meisten,mayoría
Meister,maestro
melde,informo
Meldung,informe
Melodie,melodía
Menschenhandel,trata de personas
Menschenrecht,derechos humanos
Menschenwürde,dignidad humana
menschlichen,humanos
Merkfähigkeit,capacidad de retención
Merkmal,característica
merkst,notas/te das cuenta
Messung,medición
Metapher,metáfora
Meter,metro
Methode,método
Methodologie,metodología
mich,me/a mí
Miene,expresión
mieser,miserable/malo
Migration,migración
Milieu,ambiente
Militarismus,militarismo
milliarden,mil millones
Million,millón
millionen,millones
Millionär,millonario
Minderheit,minoría
Mindestlohn,salario mínimo
Minimum,mínimo
minister,ministro
Minute,minuto
mischen,mezclar
Mischung,mezcla
Missbrauch,abuso
misstrauisch,desconfiado
Mitbestimmung,cogestión
mitbewohner,compañero de piso
mitgebracht,traído
Mitglied,miembro
Mitleid,compasión
Mittag,mediodía
Mitteilung,comunicación
Mittelstand,clase media
mitten,en medio
Mittwoch,miércoles
Mobilität,movilidad
Modell,modelo
Moderne,modernidad
Modernisierung,modernización
Modifikation,modificación
Modul,módulo
Molekül,molécula
momentan,momentáneamente/actualmente
Monarchie,monarquía
Monat,mes
monaten,meses
monats,del mes
Mond,luna
Monopol,monopolio
Montag,lunes
Moral,moral
Mord,asesinato
morden,asesinar
Motiv,motivo
Motivation,motivación
Multikulturalismus,multiculturalismo
Museumsbesuch,visita al museo
Muster,patrón
Mut,valor
Mystik,mística
Müdigkeit,cansancio
Mühe,esfuerzo
na,bueno/pues
nachfolger,sucesor
Nachfrage,demanda
Nachhaltigkeit,sostenibilidad
Nachkriegszeit,posguerra
Nachrichtendienst,servicio de inteligencia
Nacht,noche
nachts,por la noche
Nachweis,prueba
nachzudenken,reflexionar
nah,cerca
nahm,tomó
nahrung,alimento
Nahrungsmittel,alimentos
naiv,ingenuo
nation,nación
Nationalismus,nacionalismo
Nationalität,nacionalidad
Naturkatastrophe,desastre natural
Naturschutz,protección de la naturaleza
Naturwissenschaft,ciencias naturales
Navigation,navegación
Nebel,niebla
Nebeneffekt,efecto secundario
Nebentätigkeit,actividad secundaria
Negativität,negatividad
nehme,tomo
Neigung,inclinación
Neoliberalismus,neoliberalismo
Nerv,nervio
Nervosität,nerviosismo
Nest,nido
Netz,red
Netzwerk,red
neuen,nuevos
neues,nuevo
Neugierde,curiosidad
neugierig,curioso
Neutralität,neutralidad
niere,riñón
nirgendwo,en ninguna parte
nirgendwohin,a ninguna parte
Niveau,nivel
nix,nada (coloquial)
nochmal,otra vez
nochmals,de nuevo
Norden,norte
Norm,norma
Normalisierung,normalización
Normalität,normalidad
Nostalgie,nostalgia
Note,nota
Notfall,emergencia
Notwendigkeit,necesidad
nutze,uso
Nutzung,utilización
Objekt,objeto
Objektivität,objetividad
offenen,abiertos
ohnehin,de todos modos
Oktober,octubre
Oligarchie,oligarquía
Oper,ópera
Operation,operación
Opfer,víctima
Opposition,oposición
Optimierung,optimización
Optimismus,optimismo
Option,opción
Ordnungspolitik,política de regulación
Organisation,organización
Orientierung,orientación
Orientierungslosigkeit,desorientación
original,original
Originalität,originalidad
Osten,este
packt,empaca/agarra
Panik,pánico
papiere,papeles
papierkram,papeleo
Partei,partido
partys,fiestas
passiert,pasa/sucede
Passion,pasión
passt,encaja/queda bien
Paternalismus,paternalismo
Patient,paciente
Patriotismus,patriotismo
penner,vagabundo (despectivo)
perfekte,perfecta
perfekten,perfectos
Periode,período
Personal,personal
Perspektive,perspectiva
Persönlichkeit,personalidad
Persönlichkeitsentwicklung,desarrollo de la personalidad
Pessimismus,pesimismo
Pfeife,pipa
pfeil,flecha
Pflicht,deber
pflichten,deberes/obligaciones
Phantasie,fantasía
Phase,fase
Philosophie,filosofía
Physik,física
Pianistin,pianista
Piano,piano
piept,pita
pink,rosa
pizza,pizza
plant,planea
Planung,planificación
Plattform,plataforma
platzen,estallar
Polarisierung,polarización
polen,Polonia
Politik,política
Population,población
Populismus,populismo
Position,posición
positiv,positivo
Potential,potencial
power,poder/energía
Presse,prensa
prinzen,príncipes
Prinzip,principio
prinzipien,principios
Priorität,prioridad
Privatisierung,privatización
Privatsphäre,privacidad
probe,prueba/ensayo
Problemlösung,resolución de problemas
Produktivität,productividad
Professionalisierung,profesionalización
Professor,profesor
profil,perfil
Profit,beneficio
Prognose,pronóstico
Prominenz,celebridad
Propaganda,propaganda
Proportion,proporción
Proportionalität,proporcionalidad
prostituierte,prostituta
Prostitution,prostitución
Protektionismus,proteccionismo
Protest,protesta
Provokation,provocación
Prozent,porcentaje
Prozess,proceso
Präsentation,presentación
Psychoanalyse,psicoanálisis
Psychologie,psicología
Psychotherapie,psicoterapia
Publikation,publicación
Publikum,público
Punkt,punto
puppen,muñecas
Qualifikation,cualificación
Qualitätskontrolle,control de calidad
Quantität,cantidad
quasi,casi/prácticamente
Quelle,fuente
Quellen,fuentes
Rache,venganza
Rahmen,marco
rakete,cohete
rang,rango
Rassismus,racismo
Rat,consejo
Rationalismus,racionalismo
rauch,humo
rauf,arriba
raumschiff,nave espacial
rausfinden,averiguar
Reaktion,reacción
Realismus,realismo
Realität,realidad
Rebellion,rebelión
Recherche,investigación
rechtfertigen,justificar
Rechtsextremismus,extremismo de derecha
Rechtsprechung,jurisprudencia
Rechtsstaat,estado de derecho
Recycling,reciclaje
Reform,reforma
Reformation,reforma
Regierung,gobierno
Region,región
Rehabilitierung,rehabilitación
reichen,alcanzar/ser suficiente
Reichtum,riqueza
reiner,puro
reingehen,entrar
reinste,puro
Reisebranche,sector turístico
Relation,relación
Relativität,relatividad
Religion,religión
Renaissance,renacimiento
rendezvous,cita
Rendite,rentabilidad
Repression,represión
Repräsentant,representante
Republik,república
Reputation,reputación
Resignation,resignación
Ressource,recurso
Resultat,resultado
rettet,salva
revier,comisaría/territorio
Revolution,revolución
Rhythmus,ritmo
richter,juez
richtigen,correctos
Richtung,dirección
risiken,riesgos
Risiko,riesgo
Risikobereitschaft,disposición al riesgo
Ritual,ritual
rollen,roles
Roman,novela
Romantik,romanticismo
rotes,rojo
Routine,rutina
Ruf,reputación
ruiniert,arruinado
rum,"ron (o coloquial de ""herum"" - alrededor)"
russischen,rusos
Rückgang,retroceso
saal,sala
sage,digo
salon,salón
Sammlung,colección
sand,arena
sandwich,sándwich
Sanktion,sanción
Satiriker,satirista
sau,cerda
sauerstoff,oxígeno
Schaf,oveja
schafe,ovejas
Schal,bufanda
Schale,cáscara
Schatz,tesoro
scheck,cheque
Scheidung,divorcio
Schein,apariencia
scheint,brilla/parece
scheitern,fracasar
schenke,regalo (verbo)
schenkt,regala
scherz,broma
scheune,granero
Schicht,capa
Schichtarbeit,trabajo por turnos
Schicksal,destino
schieben,empujar
schienen,parecían / raíles
Schießerei,tiroteo
Schiffe,barcos
Schizophrenie,esquizofrenia
Schlacht,batalla
schlampen,zorras (despectivo)
Schlange,serpiente
schlau,listo
schlechte,mala
schließ,cierra/cerrar
schließt,cierra/cerrar
Schließung,cierre
schlimmen,malo
schmeckt,sabe (gusto)
schmeißt,tira/lanza
Schmiererei,pintada
schmuck,joyas
schnappt,atrapa/agarra
schneide,corto
schneidet,corta
Schock,shock
schrecklicher,terrible
Schreiber,escritor
schreien,gritar
schrie,gritó
Schrift,escritura
Schritt,paso
schublade,cajón
Schuldenabbaupolitik,política de reducción de deuda
Schulpflicht,escolarización obligatoria
schulter,hombro
Schutzmaßnahme,medida de protección
Schwanz,cola
schwarz,negro
Schwarzarbeit,trabajo en negro
schwarze,negra
Schwarzer,negro
schweine,blanca
Schwerpunkt,enfoque
schwestern,hermanas
schwierige,difícil
schwieriger,más difícil
Schwierigkeit,dificultad
schwierigkeiten,dificultades
schwung,impulso
Schwäche,debilidad
Schätzung,estimación
Schönheit,belleza
Schöpfung,creación
segeln,navegar a vela
Segment,segmento
segne,bendice
sehnsucht,anhelo/nostalgia
seht,veis
seiner,su/suyo
Sektor,sector
Selbstbestimmung,autodeterminación
Selbstständigkeit,independencia
Selektion,selección
seltsame,extraña
seltsames,extraño
sender,emisora/canal
